id,country,poor
418,A,0.999
41249,A,0.001
16205,A,0.75
97501,A,0.001
67756,A,0.999
17938,A,0.001
19036,A,0.001
61587,A,0.634911486732327
57571,A,0.999
64203,A,0.75
30762,A,0.999
41072,A,0.001
46727,A,0.400159415134065
78263,A,0.999
58110,A,0.001
13124,A,0.75
71752,A,0.999
75036,A,0.999
68309,A,0.999
5668,A,0.001
27937,A,0.001
60163,A,0.001
97835,A,0.001
7186,A,0.001
36143,A,0.25
3465,A,0.999
29970,A,0.25
60973,A,0.999
31451,A,0.001
82565,A,0.25
7160,A,0.999
55644,A,0.999
67347,A,0.608822535151771
67980,A,0.999
3941,A,0.999
37733,A,0.999
14312,A,0.999
33905,A,0.999
34048,A,0.25
30841,A,0.75
66811,A,0.999
19355,A,0.25
32371,A,0.25
9370,A,0.999
44995,A,0.512592410610911
78395,A,0.999
98886,A,0.999
6364,A,0.999
96637,A,0.001
8007,A,0.999
68662,A,0.001
84129,A,0.999
28419,A,0.999
36223,A,0.999
89997,A,0.368711283079389
2014,A,0.001
64344,A,0.001
27605,A,0.999
75725,A,0.413247357721104
13703,A,0.001
56579,A,0.999
71352,A,0.999
30580,A,0.457495714211217
61719,A,0.999
46701,A,0.25
58792,A,0.25
21795,A,0.999
89821,A,0.580046069678936
40888,A,0.75
61276,A,0.999
21635,A,0.999
39822,A,0.999
56597,A,0.425931171435043
89350,A,0.001
54128,A,0.999
48435,A,0.001
16642,A,0.999
97330,A,0.557122998860745
43863,A,0.001
63177,A,0.999
72054,A,0.001
5435,A,0.001
34168,A,0.999
99214,A,0.25
55216,A,0.999
91361,A,0.999
88552,A,0.25
16461,A,0.999
62843,A,0.999
9365,A,0.999
3919,A,0.25
3475,A,0.66787692841476
28437,A,0.001
65891,A,0.999
16408,A,0.001
80229,A,0.001
80092,A,0.999
9034,A,0.001
95006,A,0.001
26614,A,0.001
14155,A,0.632686057211734
175,A,0.999
11855,A,0.999
87429,A,0.999
19276,A,0.999
28524,A,0.001
52062,A,0.999
54837,A,0.37179954254175
50411,A,0.999
15859,A,0.999
6544,A,0.999
63085,A,0.001
93525,A,0.999
7089,A,0.999
29028,A,0.502373861255245
10228,A,0.25
11000,A,0.25
39317,A,0.001
53722,A,0.001
22735,A,0.001
86326,A,0.001
13015,A,0.999
83434,A,0.488667060896571
95951,A,0.999
35789,A,0.999
92070,A,0.52331192987257
29877,A,0.001
11670,A,0.25
30491,A,0.25
78548,A,0.999
70612,A,0.999
44361,A,0.75
77828,A,0.999
72156,A,0.999
86101,A,0.75
75241,A,0.25
35530,A,0.999
42407,A,0.001
22616,A,0.25
29041,A,0.999
69778,A,0.001
75084,A,0.580826406155012
30574,A,0.25
80716,A,0.465687119199372
87892,A,0.999
91269,A,0.001
