"id","country","poor"
418,"A",0.58
41249,"A",0.058
16205,"A",0.616
97501,"A",0.064
67756,"A",0.938
17938,"A",0.094
19036,"A",0.02
61587,"A",0.44
57571,"A",0.906
64203,"A",0.592
30762,"A",0.994
41072,"A",0.092
46727,"A",0.368
78263,"A",0.838
58110,"A",0.13
13124,"A",0.874
71752,"A",0.886
75036,"A",0.554
68309,"A",0.926
5668,"A",0.058
27937,"A",0.076
60163,"A",0.24
97835,"A",0.012
7186,"A",0.1
36143,"A",0.366
3465,"A",0.838
29970,"A",0.346
60973,"A",0.86
31451,"A",0.03
82565,"A",0.48
7160,"A",0.896
55644,"A",0.944
67347,"A",0.62
67980,"A",0.604
3941,"A",0.99
37733,"A",0.852
14312,"A",0.726
33905,"A",0.794
34048,"A",0.276
30841,"A",0.822
66811,"A",0.414
19355,"A",0.456
32371,"A",0.332
9370,"A",0.836
44995,"A",0.156
78395,"A",0.982
98886,"A",0.708
6364,"A",0.952
96637,"A",0.038
8007,"A",0.528
68662,"A",0.182
84129,"A",0.714
28419,"A",0.914
36223,"A",0.922
89997,"A",0.04
2014,"A",0.074
64344,"A",0.016
27605,"A",0.71
75725,"A",0.506
13703,"A",0.048
56579,"A",0.998
71352,"A",0.822
30580,"A",0.268
61719,"A",0.952
46701,"A",0.394
58792,"A",0.132
21795,"A",0.742
89821,"A",0.556
40888,"A",0.674
61276,"A",0.766
21635,"A",0.964
39822,"A",0.87
56597,"A",0.014
89350,"A",0.054
54128,"A",0.998
48435,"A",0.102
16642,"A",0.852
97330,"A",0.534
43863,"A",0.442
63177,"A",0.806
72054,"A",0.028
5435,"A",0.148
34168,"A",0.794
99214,"A",0.416
55216,"A",0.952
91361,"A",0.956
88552,"A",0.276
16461,"A",0.984
62843,"A",0.584
9365,"A",0.74
3919,"A",0.406
3475,"A",0.394
28437,"A",0.024
65891,"A",0.974
16408,"A",0.108
80229,"A",0.058
80092,"A",0.972
9034,"A",0.062
95006,"A",0.08
26614,"A",0.172
14155,"A",0.818
175,"A",0.778
11855,"A",0.824
87429,"A",0.626
19276,"A",1
28524,"A",0.06
52062,"A",0.894
54837,"A",0.154
50411,"A",0.932
15859,"A",0.892
6544,"A",0.626
63085,"A",0.202
93525,"A",0.774
7089,"A",0.852
29028,"A",0.422
10228,"A",0.296
11000,"A",0.266
39317,"A",0.224
53722,"A",0.032
22735,"A",0.028
86326,"A",0.01
13015,"A",0.806
83434,"A",0.268
95951,"A",0.694
35789,"A",0.752
92070,"A",0.394
29877,"A",0.04
11670,"A",0.13
30491,"A",0.432
78548,"A",0.998
70612,"A",0.874
44361,"A",0.536
77828,"A",0.922
72156,"A",0.85
86101,"A",0.522
75241,"A",0.21
35530,"A",0.836
42407,"A",0.092
22616,"A",0.198
29041,"A",0.772
69778,"A",0.062
75084,"A",0.486
30574,"A",0.472
80716,"A",0.562
87892,"A",0.842
91269,"A",0.186
91947,"A",0.312
45831,"A",0.78
98482,"A",0.358
28179,"A",0.214
98825,"A",0.37
1101,"A",0.076
2241,"A",0.096
25718,"A",0.952
30902,"A",0.766
8423,"A",0.912
39033,"A",0.958
73916,"A",0.988
17478,"A",0.858
86283,"A",0.136
41579,"A",0.964
84576,"A",0.142
63065,"A",0.044
68360,"A",0.59
44092,"A",0.398
13310,"A",0.058
83761,"A",0.99
83276,"A",0.126
85353,"A",0.49
26791,"A",0.444
23898,"A",0.23
62311,"A",0.392
31530,"A",0.904
89156,"A",0.06
12991,"A",0
18332,"A",0.064
48546,"A",0.594
57081,"A",0.366
27653,"A",0.006
52928,"A",0.038
66053,"A",0.376
5032,"A",0.322
31297,"A",0.706
64582,"A",0.612
57003,"A",0.01
8274,"A",0.014
56312,"A",0.468
97874,"A",0.134
16559,"A",0.238
17203,"A",0.986
36667,"A",0.338
80486,"A",0.254
76722,"A",0.082
47789,"A",0
70456,"A",0.192
47415,"A",0.074
12804,"A",0.02
83822,"A",0.974
32238,"A",0.754
54601,"A",0.154
94263,"A",0.036
85685,"A",0.012
10657,"A",0.714
74097,"A",0.004
86562,"A",0.036
12410,"A",0.428
26132,"A",0.786
83577,"A",0.238
19690,"A",0.91
52773,"A",0.228
49483,"A",0.01
16719,"A",0.932
20322,"A",0.082
47897,"A",0.772
73692,"A",0.68
31916,"A",0.982
68075,"A",0.792
93627,"A",0.814
84374,"A",0.994
63891,"A",0.098
59028,"A",0.01
43003,"A",0.57
95033,"A",0.508
48279,"A",0.09
71913,"A",0.912
91196,"A",0.062
46483,"A",0.984
28667,"A",0.49
23079,"A",0.968
58649,"A",0.036
64041,"A",0.046
55689,"A",0.032
81716,"A",0.974
58514,"A",0.406
